Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","02951.04","Hides, wet-salted of cattle","2023","2023","1000 USD","1820","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01659","Hop cones","2023","2023","1000 USD","26180","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","F1275","hydrogenated oils and fats","2023","2023","1000 USD","132089","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","23991.01","Infant food","2023","2023","1000 USD","216157","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21439.90","Juice of fruits n.e.c.","2023","2023","1000 USD","55854","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01922.01","Jute, raw or retted","2023","2023","1000 USD","7583","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01322","Lemons and limes","2023","2023","1000 USD","1798","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01441","Linseed","2023","2023","1000 USD","1607","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","0112","Maize (corn)","2023","2023","1000 USD","291493","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","24320","Malt, whether or not roasted","2023","2023","1000 USD","612109","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21190.01","Meat meal","2023","2023","1000 USD","1259","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21111.01","Meat of cattle with the bone, fresh or chilled","2023","2023","1000 USD","343080","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21121","Meat of chickens, fresh or chilled","2023","2023","1000 USD","10315","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21115","Meat of sheep, fresh or chilled","2023","2023","1000 USD","53242","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","F1172","Meat prepared n.e.c.","2023","2023","1000 USD","1390","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01950.02","Natural rubber in other forms","2023","2023","1000 USD","384456","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","0117","Oats","2023","2023","1000 USD","610","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21170.93","Offals n.e.c. (excluding mammals), fresh, chilled or frozen","2023","2023","1000 USD","3257","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21691.04","Oil of castor beans","2023","2023","1000 USD","8068","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21691.12","Oil of linseed","2023","2023","1000 USD","1579","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21691.02","Oil of maize","2023","2023","1000 USD","69","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21691.14","Oil of palm kernel","2023","2023","1000 USD","233331","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","2167","Olive oil","2023","2023","1000 USD","472184","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01253.02","Onions and shallots, dry (excluding dehydrated)","2023","2023","1000 USD","56264","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01323","Oranges","2023","2023","1000 USD","27016","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01329","Other citrus fruit, n.e.c.","2023","2023","1000 USD","351","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21419.99","Other fruit n.e.c., dried","2023","2023","1000 USD","59122","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01359.90","Other fruits, n.e.c.","2023","2023","1000 USD","62622","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","25090","Other manufactured tobacco and manufactured tobacco substitutes
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21183","Other meat and edible meat offal, salted, in brine, dried or smoked
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21691.90","Other oil of vegetable origin, crude n.e.c.","2023","2023","1000 USD","21023","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01709.90","Other pulses n.e.c.","2023","2023","1000 USD","226503","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01699","Other stimulant, spice and aromatic crops, n.e.c.","2023","2023","1000 USD","35952","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01290.90","Other vegetables, fresh n.e.c.","2023","2023","1000 USD","193736","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01491.02","Palm kernels","2023","2023","1000 USD","19","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","2165","Palm oil","2023","2023","1000 USD","257041","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","F0022","Pastry","2023","2023","1000 USD","98912","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01345","Peaches and nectarines","2023","2023","1000 USD","33500","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01342.01","Pears","2023","2023","1000 USD","176628","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01651","Pepper (Piper spp.), raw","2023","2023","1000 USD","1055","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21181","Pig meat, cuts, salted, dried or smoked (bacon and ham)","2023","2023","1000 USD","12774","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01318","Pineapples","2023","2023","1000 USD","68","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21491","Pineapples, otherwise prepared or preserved","2023","2023","1000 USD","105","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01510","Potatoes","2023","2023","1000 USD","16410","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21411","Raisins","2023","2023","1000 USD","45797","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01443","Rape or colza seed","2023","2023","1000 USD","29397","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21641.01","Rapeseed or canola oil, crude","2023","2023","1000 USD","22094","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","2351f","Raw cane or beet sugar (centrifugal only)","2023","2023","1000 USD","54","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","26110","Raw silk (not thrown)","2023","2023","1000 USD","3087","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","23520","Refined sugar","2023","2023","1000 USD","1578","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","23161.02","Rice, milled","2023","2023","1000 USD","317180","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","21184.02","Sausages and similar products of meat, offal or blood of pig","2023","2023","1000 USD","3650","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","01444","Sesame seed","2023","2023","1000 USD","9791","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","22212","Skim milk and whey powder","2023","2023","1000 USD","386118","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","02953.04","Skins, dry-salted of sheep","2023","2023","1000 USD","746","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","2161","Soya bean oil","2023","2023","1000 USD","34061","E","Estimated value"
TI,"Trade Indices","076","Brazil","64","Import Value Base Period Quantity","0141","Soya beans","2023","2023","1000 USD","209663","E","Estimated value"
